                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.77104,                 1.3564,                 1.0802,                0.84316,                0.84779,                0.89377,                0.83848,                0.36113,                0.58674,                0.93451,               0.008053,               0.008053,               0.008053
                     61,                 0.7659,                 1.3455,                 1.0799,                0.85882,                0.82607,                0.89352,                0.83987,                0.35974,                0.59315,                0.92786,                0.00802,                0.00802,                0.00802
                     62,                 0.7681,                 1.3275,                 1.0721,                0.83738,                0.85909,                0.89538,                0.84198,                0.35944,                0.59109,                0.92724,               0.007987,               0.007987,               0.007987
                     63,                0.76253,                 1.3136,                 1.0767,                0.85762,                0.84087,                0.89556,                0.84309,                0.35464,                0.59037,                0.92579,               0.007954,               0.007954,               0.007954
                     64,                0.76654,                 1.3153,                 1.0775,                 0.8347,                0.85137,                0.89333,                0.84053,                 0.3567,                  0.596,                0.92632,               0.007921,               0.007921,               0.007921
                     65,                0.76204,                 1.2967,                 1.0734,                0.83935,                0.85142,                 0.8972,                0.84623,                0.35545,                0.58777,                0.92466,               0.007888,               0.007888,               0.007888
                     66,                0.75954,                 1.2736,                 1.0738,                0.84947,                0.84282,                0.89855,                0.84711,                0.35523,                0.58566,                0.92664,               0.007855,               0.007855,               0.007855
                     67,                0.75216,                 1.2529,                 1.0663,                0.84602,                0.84887,                0.89945,                0.84599,                0.35638,                 0.5792,                0.92797,               0.007822,               0.007822,               0.007822
                     68,                0.75836,                 1.2632,                 1.0739,                0.86055,                0.84043,                    0.9,                0.84704,                0.35385,                0.57604,                0.92397,               0.007789,               0.007789,               0.007789
                     69,                0.75685,                 1.2613,                 1.0711,                0.85897,                0.84683,                0.89899,                0.84586,                0.35437,                0.57807,                0.92455,               0.007756,               0.007756,               0.007756
                     70,                0.74428,                 1.2322,                  1.064,                0.85319,                0.85479,                0.89984,                0.84796,                0.35205,                0.57596,                0.92415,               0.007723,               0.007723,               0.007723
                     71,                0.74868,                 1.2274,                 1.0646,                0.86024,                0.85157,                0.90086,                0.84792,                0.35054,                0.56943,                0.92221,                0.00769,                0.00769,                0.00769
                     72,                0.74899,                 1.2235,                 1.0675,                0.85126,                 0.8512,                0.90145,                0.84968,                0.35149,                 0.5658,                 0.9228,               0.007657,               0.007657,               0.007657
                     73,                0.74026,                 1.2055,                 1.0604,                0.85758,                0.85336,                 0.9021,                0.84881,                0.35014,                0.56185,                0.92213,               0.007624,               0.007624,               0.007624
                     74,                0.74278,                 1.2125,                 1.0611,                0.85368,                0.86021,                0.90219,                0.84922,                0.34974,                0.55913,                0.92147,               0.007591,               0.007591,               0.007591
                     75,                0.73863,                 1.1909,                 1.0614,                0.86277,                0.85467,                 0.9034,                0.85011,                0.34824,                0.55636,                 0.9211,               0.007558,               0.007558,               0.007558
                     76,                0.74064,                 1.1837,                 1.0632,                0.86739,                0.85096,                0.90417,                0.85253,                0.34714,                0.55696,                0.91989,               0.007525,               0.007525,               0.007525
                     77,                0.73653,                 1.1768,                 1.0589,                0.86707,                0.84962,                0.90265,                0.85019,                0.34678,                0.55843,                 0.9186,               0.007492,               0.007492,               0.007492
                     78,                0.73334,                 1.1678,                 1.0567,                0.86778,                0.85295,                0.90316,                0.85015,                0.34736,                0.55638,                0.91945,               0.007459,               0.007459,               0.007459
                     79,                0.73603,                 1.1709,                 1.0579,                0.87033,                0.84449,                0.90372,                0.85174,                 0.3459,                0.55386,                0.91892,               0.007426,               0.007426,               0.007426
                     80,                0.73398,                 1.1483,                 1.0572,                0.85997,                0.85591,                0.90356,                0.85065,                0.34574,                0.55482,                0.91859,               0.007393,               0.007393,               0.007393
                     81,                 0.7303,                 1.1363,                 1.0556,                0.88168,                0.83791,                0.90306,                0.85074,                0.34608,                0.55666,                0.91837,                0.00736,                0.00736,                0.00736
                     82,                0.72811,                 1.1331,                 1.0514,                0.87753,                0.84615,                0.90342,                0.85006,                0.34648,                0.55428,                0.91927,               0.007327,               0.007327,               0.007327
                     83,                0.72944,                  1.132,                 1.0553,                0.88945,                0.83462,                 0.9038,                0.85142,                0.34721,                0.55456,                0.92029,               0.007294,               0.007294,               0.007294
                     84,                0.73005,                 1.1327,                 1.0544,                0.89081,                 0.8336,                0.90403,                0.85211,                0.34766,                0.55614,                0.92125,               0.007261,               0.007261,               0.007261
                     85,                0.72769,                 1.1302,                 1.0567,                0.89126,                0.83232,                0.90451,                 0.8528,                0.34748,                0.55556,                0.92136,               0.007228,               0.007228,               0.007228
                     86,                0.72122,                 1.1176,                 1.0496,                0.89119,                0.83096,                0.90513,                0.85355,                0.34746,                0.55437,                0.92083,               0.007195,               0.007195,               0.007195
                     87,                0.72537,                  1.113,                 1.0502,                0.87827,                0.84421,                 0.9049,                 0.8532,                0.34721,                0.55439,                0.92081,               0.007162,               0.007162,               0.007162
